iter	Passed	Remaining
0	178	178066
1	371	185161
2	544	181036
3	694	172980
4	873	173813
5	1040	172373
6	1214	172353
7	1403	173983
8	1575	173534
9	1776	175828
10	1960	176226
11	2132	175577
12	2297	174453
13	2471	174047
14	2657	174537
15	2834	174345
16	3046	176170
17	3217	175521
18	3382	174643
19	3539	173443
20	3704	172712
21	3879	172442
22	4049	172011
23	4199	170784
24	4373	170584
25	4495	168420
26	4579	165042
27	4660	161783
28	4743	158810
29	4841	156540
30	4928	154067
31	5020	151884
32	5111	149770
33	5204	147877
34	5299	146120
35	5394	144443
36	5483	142726
37	5544	140352
38	5632	138796
39	5722	137335
40	5811	135932
41	5896	134503
42	6000	133536
43	6079	132084
44	6188	131324
45	6278	130213
46	6379	129361
47	6468	128289
48	6554	127204
49	6647	126309
50	6738	125391
51	6824	124408
52	6903	123352
53	7003	122688
54	7083	121708
55	7179	121026
56	7275	120372
57	7368	119681
58	7446	118762
59	7538	118110
60	7629	117446
61	7714	116705
62	7797	115972
63	7891	115407
64	7995	115006
65	8111	114789
66	8200	114191
67	8287	113592
68	8364	112861
69	8459	112388
70	8555	111949
71	8653	111537
72	8739	110983
73	8829	110486
74	8927	110108
75	9009	109541
76	9100	109089
77	9190	108635
78	9281	108207
79	9368	107742
80	9456	107291
81	9554	106964
82	9603	106105
83	9706	105846
84	9797	105466
85	9883	105040
86	9946	104384
87	10028	103928
88	10057	102947
89	10164	102770
90	10265	102543
91	10355	102206
92	10454	101958
93	10557	101756
94	10670	101653
95	10763	101357
96	10849	101001
97	10945	100742
98	11040	100481
99	11124	100120
100	11211	99793
101	11307	99547
102	11387	99170
103	11481	98918
104	11569	98617
105	11663	98367
106	11746	98031
107	11837	97772
108	11914	97394
109	12012	97189
110	12116	97044
111	12225	96931
112	12317	96689
113	12401	96385
114	12509	96269
115	12608	96085
116	12692	95788
117	12722	95093
118	12750	94395
119	12778	93706
120	12871	93502
121	12960	93270
122	13039	92973
123	13127	92736
124	13230	92616
125	13325	92432
126	13412	92198
127	13495	91935
128	13588	91746
129	13677	91535
130	13774	91372
131	13854	91104
132	13989	91196
133	14149	91446
134	14255	91337
135	14342	91119
136	14430	90899
137	14522	90714
138	14613	90520
139	14729	90481
140	14828	90340
141	14932	90227
142	15035	90106
143	15130	89942
144	15228	89796
145	15326	89650
146	15411	89429
147	15506	89264
148	15594	89067
149	15698	88960
150	15728	88435
151	15816	88239
152	15903	88038
153	15988	87834
154	16080	87667
155	16167	87469
156	16261	87314
157	16358	87176
158	16446	86988
159	16540	86835
160	16632	86673
161	16720	86494
162	16809	86314
163	16900	86151
164	16985	85955
165	17083	85827
166	17172	85655
167	17261	85484
168	17347	85302
169	17445	85177
170	17532	84996
171	17625	84849
172	17724	84730
173	17824	84616
174	17930	84529
175	18020	84368
176	18121	84258
177	18223	84155
