iter	Passed	Remaining
0	631	315225
1	988	246071
2	1405	232909
3	1863	231119
4	2336	231348
5	2789	229634
6	3203	225634
7	3523	216709
8	3743	204221
9	3940	193091
10	4141	184099
11	4326	175934
12	4524	169498
13	4739	164513
14	4919	159071
15	5155	155964
16	5357	152223
17	5410	144877
18	5597	141706
19	5793	139051
20	6000	136877
21	6215	135048
22	6410	132946
23	6627	131437
24	6829	129763
25	7031	128197
26	7252	127055
27	7463	125819
28	7665	124497
29	7883	123509
30	8092	122429
31	8140	119060
32	8186	115848
33	8401	115151
34	8614	114446
35	8694	112063
36	8895	111316
37	9116	110835
38	9349	110519
39	9532	109621
40	9722	108843
41	9931	108299
42	10155	107933
43	10378	107555
44	10582	107005
45	10673	105344
46	10899	105056
47	11118	104698
48	11329	104281
49	11560	104046
50	11747	103426
51	11932	102803
52	12147	102455
53	12351	102012
54	12564	101659
55	12773	101272
56	12851	99882
57	12918	98449
58	13146	98263
59	13356	97948
60	13571	97666
61	13777	97331
62	13990	97047
63	14192	96685
64	14223	95189
65	14352	94379
66	14587	94273
67	14832	94228
68	14919	93193
69	15134	92970
70	15340	92688
71	15401	91553
72	15598	91242
73	15825	91104
74	16031	90846
75	16078	89699
76	16310	89602
77	16340	88407
78	16389	87342
79	16598	87142
80	16650	86127
81	16716	85215
82	16948	85148
83	17173	85047
84	17257	84257
85	17306	83315
86	17338	82306
87	17558	82207
88	17607	81309
89	17662	80460
90	17793	79971
91	18032	79968
92	18267	79944
93	18491	79866
94	18719	79805
95	18941	79713
96	19143	79535
97	19369	79454
98	19453	78796
99	19657	78629
100	19866	78482
101	20095	78412
102	20112	77521
103	20328	77403
104	20542	77278
105	20763	77178
106	20994	77111
107	21206	76973
108	21432	76882
109	21637	76713
110	21861	76613
111	22066	76445
112	22314	76421
113	22541	76325
114	22557	75517
115	22776	75396
116	22984	75238
117	23205	75121
118	23296	74588
119	23347	73933
120	23574	73842
121	23790	73712
122	24021	73627
123	24050	72926
124	24261	72784
125	24474	72646
126	24676	72476
127	24881	72311
128	25084	72141
129	25312	72041
130	25525	71899
131	25730	71732
132	25944	71591
133	26151	71429
134	26382	71329
135	26597	71188
136	26801	71015
137	27009	70850
138	27200	70643
139	27425	70521
140	27638	70369
141	27849	70213
142	28052	70034
143	28240	69816
144	28444	69639
145	28645	69455
146	28854	69291
147	29070	69140
148	29207	68804
149	29421	68649
150	29624	68469
151	29846	68333
152	30054	68162
153	30257	67982
154	30463	67806
155	30718	67738
156	30924	67560
157	31120	67362
158	31319	67169
159	31512	66964
160	31725	66800
161	31941	66643
162	32158	66486
163	32379	66337
164	32579	66147
165	32821	66037
166	33054	65912
167	33257	65724
168	33499	65611
169	33750	65516
170	33977	65372
171	34198	65215
172	34419	65059
173	34661	64939
174	34903	64820
175	35106	64628
176	35322	64458
177	35521	64258
178	35740	64094
179	35945	63903
180	36185	63775
181	36397	63595
182	36625	63443
183	36827	63246
184	37056	63096
185	37297	62964
186	37509	62783
187	37745	62640
188	37942	62434
189	38178	62290
190	38418	62153
191	38862	62341
192	39306	62524
193	39801	62778
194	40248	62953
195	40701	63128
196	41224	63405
197	41737	63659
198	42271	63938
199	42753	64130
200	43220	64292
201	43759	64556
202	44208	64680
203	44706	64867
204	45179	65014
205	45637	65133
206	46045	65176
207	46521	65309
208	46980	65413
209	47468	65551
210	47889	65592
211	48358	65694
212	48783	65731
213	49217	65777
214	49669	65841
215	50165	65958
216	50685	66101
217	51130	66141
218	51578	66180
219	52074	66276
220	52584	66385
221	53041	66421
222	53497	66451
223	53948	66471
224	54459	66561
225	55002	66684
226	55502	66750
227	55733	66489
228	55940	66199
229	56156	65922
230	56367	65639
231	56582	65362
232	56771	65056
233	56991	64785
234	57192	64494
235	57388	64197
236	57593	63911
237	57812	63642
238	58000	63339
239	58225	63078
240	58433	62797
241	58649	62527
242	58903	62296
243	59121	62028
244	59325	61746
245	59543	61480
246	59739	61191
247	59971	60939
248	60207	60691
249	60432	60432
250	60642	60159
251	60846	59880
252	61044	59596
253	61257	59328
254	61446	59036
255	61647	58757
256	61864	58494
257	62076	58226
258	62268	57941
259	62506	57698
260	62729	57442
261	62943	57177
262	63148	56905
263	63369	56648
264	63587	56388
265	63793	56119
266	64018	55866
267	64238	55609
268	64447	55343
269	64674	55093
270	64897	54839
271	65116	54582
272	65328	54321
273	65551	54067
274	65755	53799
275	65971	53541
276	66180	53279
277	66400	53024
278	66645	52790
279	66880	52548
280	67121	52312
281	67330	52049
282	67550	51796
283	67777	51549
284	68011	51307
285	68247	51066
286	68456	50805
287	68694	50566
288	68912	50313
289	69144	50070
290	69395	49840
291	69625	49595
292	69872	49363
293	70094	49113
294	70335	48877
295	70688	48717
296	71134	48620
297	71558	48506
298	71964	48377
299	72476	48317
300	72936	48220
301	73415	48133
302	73909	48053
303	74392	47963
304	74934	47908
305	75434	47824
306	75927	47732
307	76371	47608
308	76805	47475
309	77269	47359
310	77703	47221
311	78203	47122
312	78649	46988
313	79136	46877
314	79635	46769
315	80156	46673
316	80651	46558
317	81120	46427
318	81608	46304
319	82056	46156
320	82520	46016
321	82864	45806
322	83376	45689
323	83801	45521
324	84281	45382
325	84766	45243
326	85330	45144
327	85822	45004
328	86328	44869
329	86784	44706
330	87257	44551
331	87754	44406
332	88273	44269
333	88745	44106
334	89208	43938
335	89669	43767
336	90154	43606
337	90648	43446
338	91163	43295
339	91615	43113
340	92023	42908
341	92514	42740
342	93014	42575
343	93530	42414
344	93948	42208
345	94425	42027
346	94952	41866
347	95492	41709
348	95990	41531
349	96495	41355
350	96946	41153
351	97446	40971
352	97886	40762
353	98321	40550
354	98831	40367
355	99296	40164
356	99806	39978
357	100294	39781
358	100789	39585
359	101260	39379
360	101756	39180
361	102263	38984
362	102814	38803
